"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"ATF3","ENSG00000162772","3.31","0","3.475313807531381","82.06","30.52","22.9","5.13"
"NPIPA1","ENSG00000183426","3.23","0","1.485611510791367","7.26","1.17","4.56","0.53"
"PTGR1","ENSG00000106853","3.15","0.36741052631578947","3.2491228070175437","26.78","7.57","7.55","3.65"
"EOLA2","ENSG00000197021","3.04","0","1.3103257868580895","22.73","2.44","17.11","0.99"
"UTRN","ENSG00000152818","2.97","0","1.3131621647418157","136.58","14.43","103.77","5.82"
"SFN","ENSG00000175793","2.74","0","1.207207207207207","0.34","0.1","0.11","0.04"
"ENPP7P4","ENSG00000241278","2.67","0.2684923076923077","1.2568807339449541","0.37","0.14","0.09","0.05"
"GEM","ENSG00000164949","2.6","0.36741052631578947","1.293650793650794","3.89","0.5","2.78","0.39"
"SVIL2P","ENSG00000234814","2.59","0.36741052631578947","1.25","0.45","0.1","0.16","0.12"
"TNFRSF19","ENSG00000127863","2.56","0.36741052631578947","1.4298993028659954","35.92","5.52","24.82","2.91"
"ZFP36","ENSG00000128016","2.55","0.36741052631578947","1.8614564831261102","9.48","2.37","4.63","1.13"
"NR4A3","ENSG00000119508","2.49","0.2684923076923077","2.0091463414634148","5.59","2.01","2.28","0.4"
"PDIA5","ENSG00000065485","2.45","0.36741052631578947","1.2690782953419226","24.61","2.57","19.18","2.01"
"FAM87B","ENSG00000177757","2.43","0.36741052631578947","1.0198019801980198","0.03","0.01","0.01","0.01"
"AL050327.1","ENSG00000254620","2.39","0.36741052631578947","1.02","0.02","0.01","0","0"
"TANK","ENSG00000136560","2.39","0.36741052631578947","1.1474867724867726","16.35","1.01","14.12","0.88"
"APOLD1","ENSG00000178878","2.37","0.36741052631578947","2.3342618384401117","24.14","7.64","9.77","4.08"
"STN1","ENSG00000107960","2.37","0.36741052631578947","1.4465408805031446","10.5","1.73","6.95","1.36"
"PLK2","ENSG00000145632","2.34","0.36741052631578947","2.3","151.95","45.55","65.5","8.1"
"SBK2","ENSG00000187550","2.34","0.36741052631578947","1.0754716981132075","0.14","0.04","0.06","0.02"
"ARHGEF3","ENSG00000163947","2.33","0.36741052631578947","1.3938053097345133","5.3","0.94","3.52","0.6"
"SRGAP2C","ENSG00000171943","2.31","0.36741052631578947","1.3372549019607844","5.82","0.88","4.1","0.48"
"TEKT5","ENSG00000153060","2.29","0.36741052631578947","1.1636363636363636","0.28","0.07","0.1","0.09"
