"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"RPS4XP22","ENSG00000239830","1.25","0","1.1666666666666665","0.19","0.18","0.02","0.07"
"MTND4P24","ENSG00000232177","1.16","0","1.0961538461538463","0.14","0.11","0.04","0.05"
"AC104653.2","ENSG00000244063","1.12","0","1.0576923076923077","0.1","0.05","0.04","0.04"
"NLGN4Y","ENSG00000165246","1.03","0.5752400000000001","1.5564320388349513","24.65","7.71","15.48","11.48"
"MIF-AS1","ENSG00000218537","0.99","0","1.480916030534351","0.94","0.91","0.31","0.3"
"NSFP1","ENSG00000260075","0.99","0","1.3893129770992365","0.82","0.68","0.31","0.39"
"CXCR5","ENSG00000160683","0.95","0.4793666666666667","1.0495049504950495","0.06","0.06","0.01","0.02"
"ENPP7P4","ENSG00000241278","0.95","0.4793666666666667","1.1262135922330097","0.16","0.17","0.03","0.05"
"USP9Y","ENSG00000114374","0.94","1","1.4534568459105288","63.33","26.44","43.26","35.8"
"DDX3Y","ENSG00000067048","0.93","1","1.4009231783712497","83.98","19.35","59.66","41.58"
"ARL17B","ENSG00000228696","0.92","0.4793666666666667","1.4500000000000002","1.61","1.06","0.8","0.76"
"UTY","ENSG00000183878","0.91","1","1.4223706176961601","16.04","5.84","10.98","8.33"
"ZFY","ENSG00000067646","0.91","1","1.3941940412528648","17.25","4.54","12.09","8.36"
"KDM5D","ENSG00000012817","0.89","1","1.3732856290995827","45.06","15.36","32.54","23.39"
"CAP2","ENSG00000112186","0.87","1","1.230377598642342","57","13.65","46.14","13.31"
"TXLNGY","ENSG00000131002","0.86","1","1.324463259752041","42.8","23.76","32.07","31.12"
"RPS4Y1","ENSG00000129824","0.85","1","1.289617830384688","203.83","81.14","157.83","118.04"
"AP000941.1","ENSG00000255176","0.81","1","1.1360544217687074","0.67","0.26","0.47","0.24"
"MAP3K2-DT","ENSG00000236682","0.81","1","1.482608695652174","2.41","1.62","1.3","1"
"AC007277.1","ENSG00000213981","0.8","1","1.0392156862745099","0.06","0.07","0.02","0.04"
"VAMP1","ENSG00000139190","0.8","1","1.377791959157626","20.59","8.35","14.67","4.9"
"AC145207.4","ENSG00000263585","0.79","1","1.0388349514563107","0.07","0.07","0.03","0.03"
"CCNT2-AS1","ENSG00000224043","0.79","1","1.1443850267379676","1.14","0.38","0.87","0.31"
"GLRA4","ENSG00000188828","0.79","1","1.0392156862745099","0.06","0.07","0.02","0.03"
"PRKY","ENSG00000099725","0.79","1","1.2510259917920656","17.29","5.44","13.62","10.41"
"SMTNL1","ENSG00000214872","0.79","1","1.02","0.02","0.02","0","0.01"
"TEKT5","ENSG00000153060","0.79","1","1.0666666666666667","0.12","0.11","0.05","0.06"
"DUSP3","ENSG00000108861","0.78","1","1.2922686945500632","100.96","33.05","77.9","25.66"
"PKD1P5","ENSG00000254681","0.78","1","2.3352601156069364","3.04","3.93","0.73","0.43"
"AC067930.4","ENSG00000255050","0.77","1","1.01","0.01","0.01","0","0"
"AL354793.1","ENSG00000230105","0.77","1","1.203883495145631","0.24","0.36","0.03","0.08"
"AP000350.6","ENSG00000273295","0.77","1","1.2971014492753625","0.79","0.57","0.38","0.53"
"EIF1AY","ENSG00000198692","0.77","1","1.3483779971791257","18.12","6.55","13.18","9.18"
"RNU1-16P","ENSG00000202347","0.76","1","1.0480769230769231","0.09","0.09","0.04","0.04"
"SNX18P23","ENSG00000250016","0.76","1","1.01","0.01","0.02","0","0"
"AC006435.1","ENSG00000262456","0.75","1","1.0198019801980198","0.03","0.05","0.01","0.01"
"CTRL","ENSG00000141086","0.75","1","1.01","0.01","0.02","0","0"
"RNY1P12","ENSG00000201121","0.75","1","1.0198019801980198","0.03","0.03","0.01","0.02"
"AC005832.3","ENSG00000256799","0.74","1","1.00990099009901","0.02","0.03","0.01","0.01"
"AC019186.1","ENSG00000234584","0.74","1","1.029126213592233","0.06","0.05","0.03","0.03"
"AC139795.3","ENSG00000272459","0.74","1","1.1181818181818182","0.23","0.22","0.1","0.1"
"SMG1P3","ENSG00000180747","0.74","1","1.1999999999999997","1.22","0.67","0.85","0.34"
"AC073578.1","ENSG00000256209","0.73","1","1.01","0.01","0.01","0","0"
"AC104134.1","ENSG00000225420","0.73","1","1.0865384615384615","0.13","0.16","0.04","0.08"
"AL133410.2","ENSG00000228843","0.73","1","1.0198019801980198","0.03","0.04","0.01","0.01"
"TNFAIP1","ENSG00000109079","0.73","1","1.143516934656175","65.85","14.22","57.46","9.03"
"AC008735.3","ENSG00000269859","0.72","1","1.01","0.01","0.01","0","0"
"AC073073.1","ENSG00000223886","0.72","1","1.00990099009901","0.02","0.03","0.01","0.01"
"AC138932.2","ENSG00000207425","0.72","1","1.1238938053097347","0.27","0.2","0.13","0.16"
"AC242498.1","ENSG00000271644","0.72","1","1.01","0.01","0.01","0","0"
"GPRC6A","ENSG00000173612","0.72","1","1.0792079207920793","0.09","0.16","0.01","0.02"
"KCNA5","ENSG00000130037","0.72","1","1.0873786407766992","0.12","0.15","0.03","0.07"
"LIX1L-AS1","ENSG00000234222","0.72","1","1.1192660550458715","0.22","0.25","0.09","0.06"
"SLC2A3","ENSG00000059804","0.72","1","1.3299945365142962","145.06","64.68","108.82","30.65"
"YEATS2-AS1","ENSG00000233885","0.72","1","1.0825688073394495","0.18","0.16","0.09","0.07"
"AC005253.1","ENSG00000268030","0.71","1","1.0294117647058825","0.05","0.06","0.02","0.02"
"AL049830.3","ENSG00000258525","0.71","1","1.0761904761904761","0.13","0.16","0.05","0.04"
"AL669831.3","ENSG00000230021","0.71","1","1.0297029702970297","0.04","0.05","0.01","0.02"
"GPR50","ENSG00000102195","0.71","1","3.2586206896551726","2.78","7.5","0.16","0.38"
"MIR181B2","ENSG00000207737","0.71","1","1.02","0.02","0.02","0","0.01"
"RNU4-29P","ENSG00000251752","0.71","1","1.0198019801980198","0.03","0.04","0.01","0.02"
"SERHL","ENSG00000172250","0.71","1","1.0294117647058825","0.05","0.06","0.02","0.02"
"SLC48A1","ENSG00000211584","0.71","1","1.1611940298507462","18.45","4.92","15.75","2.79"
"AC034102.5","ENSG00000257809","0.7","1","1.0588235294117647","0.08","0.12","0.02","0.02"
"AC084024.1","ENSG00000240015","0.7","1","1.02","0.02","0.02","0","0.01"
"AC138969.3","ENSG00000227827","0.7","1","2.5337837837837838","2.75","4.13","0.48","0.78"
"AP002893.1","ENSG00000255301","0.7","1","1.03","0.03","0.06","0","0.01"
"AP003499.1","ENSG00000199875","0.7","1","1.0198019801980198","0.03","0.03","0.01","0.02"
"HSFY3P","ENSG00000227289","0.7","1","1.01","0.01","0.02","0","0.01"
"LRRC37A","ENSG00000176681","0.7","1","1.2330827067669172","0.64","0.55","0.33","0.24"
