"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"VAMP1","ENSG00000139190","3.18","1","1.546242774566474","31.1","4.52","19.76","2.87"
"GPR26","ENSG00000154478","2.64","1","1.5350877192982457","4.25","0.89","2.42","0.56"
"HENMT1","ENSG00000162639","2.53","1","1.508891928864569","10.03","1.51","6.31","1.58"
"KDM4A-AS1","ENSG00000236200","2.53","1","1.2260869565217392","0.41","0.12","0.15","0.06"
"NEK11","ENSG00000114670","2.44","1","1.3721590909090908","3.83","0.67","2.52","0.37"
"EML1","ENSG00000066629","2.4","1","1.4368530020703933","54.52","5.32","37.64","10.47"
"CIDEB","ENSG00000136305","2.34","1","1.3272727272727272","0.46","0.18","0.1","0.08"
"SPATA8","ENSG00000185594","2.33","1","1.158878504672897","0.24","0.08","0.07","0.07"
"SLC25A27","ENSG00000153291","2.26","1","1.1923601637107777","25.22","2.19","20.99","1.33"
"AC125611.4","ENSG00000258334","2.25","1","2.3192182410423454","6.12","2.66","2.07","0.68"
"METAP1D","ENSG00000172878","2.25","1","1.2764227642276424","5.28","0.62","3.92","0.65"
"SPAG17","ENSG00000155761","2.24","1","1.1880341880341883","0.39","0.12","0.17","0.05"
"TRARG1","ENSG00000184811","2.22","1","1.2100840336134453","0.44","0.14","0.19","0.07"
"AC098484.2","ENSG00000234917","2.2","1","1.1","0.54","0.08","0.4","0.03"
"MTND4P24","ENSG00000232177","2.18","1","1.1153846153846152","0.16","0.07","0.04","0.03"
"SYT15","ENSG00000204176","2.18","1","1.3153153153153152","0.46","0.2","0.11","0.05"
"AC090510.1","ENSG00000246283","2.16","1","1.2241379310344829","0.42","0.15","0.16","0.04"
"CPNE4","ENSG00000196353","2.14","1","2.3860946745562135","15.13","7.06","5.76","2.25"
"ENPP7P4","ENSG00000241278","2.14","1","1.1181818181818182","0.23","0.07","0.1","0.05"
"ARID3C","ENSG00000205143","2.11","1","1.1953125","0.53","0.11","0.28","0.13"
"HTR6","ENSG00000158748","2.09","1","1.0849056603773584","0.15","0.05","0.06","0.03"
"LINC02256","ENSG00000261064","2.08","1","1.1153846153846152","0.16","0.06","0.04","0.04"
"AL021707.5","ENSG00000244491","2.06","1","1.04","0.04","0.02","0","0.01"
"MDH1","ENSG00000014641","2.03","1","1.1231063626215914","210.29","11.62","187.13","12.1"
"AC134772.1","ENSG00000244380","2","1","1.5043478260869567","0.73","0.36","0.15","0.09"
"PTGR1","ENSG00000106853","1.96","1","1.9136868064118373","14.52","3.82","7.11","3.78"
"URAHP","ENSG00000222019","1.96","1","1.1203703703703702","0.21","0.07","0.08","0.06"
"AMIGO2","ENSG00000139211","1.95","1","1.6371428571428572","10.46","3.22","6","1.88"
