"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"MPDZ","ENSG00000107186","1.21","1","1.156926406926407","31.07","3.83","26.72","3.25"
"NEDD4","ENSG00000069869","1.05","1","1.2872531418312387","6.17","1.93","4.57","1.31"
"CACNA2D2","ENSG00000007402","0.54","1","1.099800966733011","37.68","7.06","34.17","6.54"
"SPOP","ENSG00000121067","0.47","1","1.0433809605784128","59.61","5.42","57.09","4.49"
"GNG12","ENSG00000172380","0.42","1","1.2680652680652682","4.44","3.06","3.29","2.08"
"SMAD2","ENSG00000175387","0.38","1","1.107735156348905","86.5","21.42","77.99","15.49"
"AEBP2","ENSG00000139154","0.28","1","1.0460164835164836","14.23","2.27","13.56","2.37"
"EFR3A","ENSG00000132294","0.26","1","1.0777777777777777","36.83","8.6","34.1","6.59"
"RPF1","ENSG00000117133","0.26","1","1.0291457286432162","19.48","2.27","18.9","1.33"
"SLC9A6","ENSG00000198689","0.2","1","1.0583968081247734","86.54","19.83","81.71","14.53"
"CGGBP1","ENSG00000163320","0.16","1","1.0545942720763724","140.4","37.02","133.08","34.59"
"AFTPH","ENSG00000119844","0.15","1","1.0241916724819726","43.03","6.71","41.99","6.58"
"ELK4","ENSG00000158711","0.14","1","1.0212183436002737","13.92","3.33","13.61","3.94"
"SCAMP1","ENSG00000085365","0.14","1","1.0923335626385384","141.91","46.63","129.83","35.48"
"PSIP1","ENSG00000164985","0.1","1","1.0197780020181635","201.12","26.63","197.2","10.13"
"MATR3","ENSG00000015479","0.09","1","1.0206536277113338","1052.09","179.39","1030.78","149.57"
"PPM1A","ENSG00000100614","0.07","1","1.0193223186782414","108.2","26.39","106.13","26.18"
"ZMYND11","ENSG00000015171","0.02","1","1.0028838504375497","99.85","13.4","99.56","13.91"
"ZEB1","ENSG00000148516","0.01","1","1.0010793837699932","101.02","13.07","100.91","13.93"
"PPP2R5E","ENSG00000154001","-0.01","1","1.004720406681191","82.01","22.01","81.62","20.24"
"SPOPL","ENSG00000144228","-0.01","1","0.9864794591783671","17.97","4.4","18.23","5.53"
"KIAA2026","ENSG00000183354","-0.02","1","0.9995747395279608","46.01","9.25","46.03","8.25"
"STAG2","ENSG00000101972","-0.03","1","0.9916253631857803","57.02","11.65","57.51","11.56"
"MORC3","ENSG00000159256","-0.04","1","0.993655532748647","52.25","10.5","52.59","9.6"
"NCKAP1","ENSG00000061676","-0.04","1","0.988701836514224","218.65","50.64","221.16","50.59"
"ATRX","ENSG00000085224","-0.05","1","0.9879302912740934","159.43","39.59","161.39","39.22"
"TAB2","ENSG00000055208","-0.05","1","0.9886310543529043","62.48","10.24","63.21","11.07"
"TCF4","ENSG00000196628","-0.05","1","0.9986349158198088","64.84","26.2","64.93","21.44"
"CAMSAP2","ENSG00000118200","-0.07","1","0.9895449203711958","243.19","56.04","245.77","49.5"
"TTBK2","ENSG00000128881","-0.07","1","0.9755511022044089","96.36","18.38","98.8","23.07"
"MIER1","ENSG00000198160","-0.11","1","0.9723711340206185","22.58","5.74","23.25","5.48"
"POLK","ENSG00000122008","-0.13","1","0.9650436953807741","29.92","5.73","31.04","6.94"
"RSF1","ENSG00000048649","-0.14","1","0.9748668214724766","141.74","26.26","145.42","24.55"
"GABPA","ENSG00000154727","-0.15","1","0.9647730879086004","29.4","6.97","30.51","6.96"
"CREB1","ENSG00000118260","-0.17","1","0.9594953519256308","85.7","20.91","89.36","19.85"
"PRKD3","ENSG00000115825","-0.18","1","0.9314565483476133","14.22","5.25","15.34","5.71"
"LATS1","ENSG00000131023","-0.19","1","0.9416286331972136","38.2","8.9","40.63","10.17"
"PUM2","ENSG00000055917","-0.19","1","0.9623195650815473","153","27.33","159.03","28.08"
"KIDINS220","ENSG00000134313","-0.23","1","0.980972948397363","862.06","114.83","878.8","46.42"
"CACNA2D1","ENSG00000153956","-0.29","1","0.8989656081170114","271.89","79.48","302.56","86.49"
"MIB1","ENSG00000101752","-0.3","1","0.9218565194339085","225.03","60.5","244.19","54.27"
"SOS1","ENSG00000115904","-0.3","1","0.9293265465935787","93.94","21.44","101.16","20.92"
"ATF2","ENSG00000115966","-0.31","1","0.9555187942284716","102.97","16.9","107.81","13.59"
"MORC4","ENSG00000133131","-0.33","1","0.9342806394316163","4.26","0.95","4.63","1.2"
"YAP1","ENSG00000137693","-0.38","1","0.815625","1.61","2.44","2.2","1.99"
"SMAD5","ENSG00000113658","-0.41","1","0.913730255164034","36.6","9.6","40.15","7.44"
"CD2AP","ENSG00000198087","-0.52","1","0.8931604827894501","18.98","5.25","21.37","3.67"
"STRN","ENSG00000115808","-0.56","1","0.880751371886872","40.73","9.17","46.38","8.68"
"NEDD4L","ENSG00000049759","-0.6","1","0.888344429049373","261.87","57.68","294.91","42.24"
"TCF12","ENSG00000140262","-0.93","1","0.846927053417576","57.98","11.33","68.64","11.64"
"RAD54L","ENSG00000085999","-1.07","1","0.8076923076923077","0.47","0.2","0.82","0.5"
"POLQ","ENSG00000051341","-1.22","1","0.7459459459459459","0.38","0.28","0.85","0.53"
