"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"RPS4XP22","ENSG00000239830","1.88","0","1.203883495145631","0.24","0.14","0.03","0.08"
"SIRPAP1","ENSG00000225774","1.59","0","1.4160583941605838","0.94","0.39","0.37","0.35"
"AC025458.1","ENSG00000249774","1.45","0.3736777777777778","1.02","0.02","0.02","0","0.01"
"AC109587.1","ENSG00000244513","1.34","0.3736777777777778","1.0999999999999999","0.65","0.1","0.5","0.13"
"CEACAMP9","ENSG00000230529","1.29","0.3736777777777778","1.0388349514563107","0.07","0.04","0.03","0.03"
"GYG2P1","ENSG00000206159","1.26","0.3736777777777778","1.128440366972477","0.23","0.13","0.09","0.1"
"SIRPB1","ENSG00000101307","1.25","0.3736777777777778","1.152542372881356","0.36","0.16","0.18","0.14"
"AP000873.3","ENSG00000254551","1.24","0.3736777777777778","1.02","0.02","0.02","0","0.01"
"NLGN4Y","ENSG00000165246","1.23","0.3736777777777778","1.8240146654445462","18.9","3.7","9.91","8.95"
"MTATP8P2","ENSG00000229604","1.21","0.38370939597315434","1.205607476635514","0.29","0.27","0.07","0.05"
"LMO7-AS1","ENSG00000261105","1.2","0.3736777777777778","2.3565217391304345","7.13","4.82","2.45","3.82"
"ZFY","ENSG00000067646","1.19","0.3736777777777778","1.7552845528455283","20.59","3.06","11.3","9.84"
"AC090197.1","ENSG00000253837","1.18","0.3736777777777778","1.1136363636363635","0.47","0.15","0.32","0.11"
"LINC01449","ENSG00000224017","1.18","0.38370939597315434","1.0297029702970297","0.04","0.04","0.01","0.01"
"RASL11B","ENSG00000128045","1.18","0.3736777777777778","1.4878048780487803","1.44","0.96","0.64","0.28"
"TXLNGY","ENSG00000131002","1.17","0.3736777777777778","1.7318309859154928","29.74","3.59","16.75","14.34"
"SOX9","ENSG00000125398","1.16","0.3736777777777778","1.763274336283186","6.97","4.3","3.52","1.69"
"USP9Y","ENSG00000114374","1.16","0.3736777777777778","1.7504481893151667","47.82","6.99","26.89","23.16"
"AC104653.2","ENSG00000244063","1.15","0.3736777777777778","1.0476190476190477","0.1","0.05","0.05","0.05"
"CYP2B7P","ENSG00000256612","1.15","0.3736777777777778","1.1382113821138211","0.4","0.2","0.23","0.11"
"DDX3Y","ENSG00000067048","1.15","0.3736777777777778","1.7086285952480202","80.98","17.45","46.98","43.11"
"B4GALT1","ENSG00000086062","1.13","0.3736777777777778","1.2462286586448017","350.1","67.05","280.73","64.28"
"CNST","ENSG00000162852","1.11","0.3736777777777778","1.2011531069827035","74","12.47","61.44","10.66"
"FAM171B","ENSG00000144369","1.11","0.3736777777777778","1.3515731874145007","28.64","8.35","20.93","5.12"
"UTY","ENSG00000183878","1.11","0.3736777777777778","1.5737483085250341","10.63","1.09","6.39","5.46"
"KDM5D","ENSG00000012817","1.1","0.3736777777777778","1.604780196329492","36.6","5.12","22.43","19.29"
"PRKY","ENSG00000099725","1.1","0.3736777777777778","1.570754716981132","18.98","2.51","11.72","10.5"
"GRAMD2B","ENSG00000155324","1.09","0.3736777777777778","1.434903413601482","107.45","36.14","74.58","21.22"
"RPS4Y1","ENSG00000129824","1.09","0.3736777777777778","1.583716042655873","202.46","44.86","127.47","111.84"
"NEXN","ENSG00000162614","1.08","0.3736777777777778","1.211520737327189","51.58","7.97","42.4","8.81"
"AP000350.6","ENSG00000273295","1.06","0.3736777777777778","1.3503649635036497","0.85","0.47","0.37","0.43"
"MIR3619","ENSG00000266533","1.06","0.4203875","1.00990099009901","0.02","0.02","0.01","0.01"
"RAI14","ENSG00000039560","1.06","0.3736777777777778","1.2178401817055544","175.94","31.83","144.29","26.98"
"SLC30A1","ENSG00000170385","1.06","0.4124556603773584","1.2752674437170686","78.87","21.24","61.63","10.35"
"ZSWIM2","ENSG00000163012","1.06","0.3855783439490446","1.0373831775700935","0.11","0.05","0.07","0.04"
"OSBPL8","ENSG00000091039","1.05","0.3762909090909091","1.2476183496995457","169.25","34.37","135.46","30.12"
"SLC48A1","ENSG00000211584","1.05","0.38370939597315434","1.1560830860534124","18.48","2.78","15.85","2.31"
"AC091799.1","ENSG00000224172","1.04","0.4401093827160494","1.02","0.02","0.03","0","0.01"
"EIF1AY","ENSG00000198692","1.04","0.3736777777777778","1.4980506822612085","14.37","2.4","9.26","7.92"
"MTND4P24","ENSG00000232177","1.04","0.4203875","1.0761904761904761","0.13","0.11","0.05","0.05"
"RNY1P12","ENSG00000201121","1.03","0.4203875","1.00990099009901","0.02","0.02","0.01","0.01"
"ZNF350-AS1","ENSG00000269235","1.03","0.4203875","1.0576923076923077","0.1","0.07","0.04","0.04"
"AP003499.1","ENSG00000199875","1.02","0.4401093827160494","1.0198019801980198","0.03","0.03","0.01","0.01"
"ARF4","ENSG00000168374","1.02","0.3736777777777778","1.0935844885552435","473.9","33.51","433.26","42.88"
